2024-02-08 at 10:59:49 |     __init__.py      |   show_config   |  10  |                      |                 |      |  DEBUG   | =====================CONFIG================
2024-02-08 at 10:59:49 |     __init__.py      |   show_config   |  11  |                      |                 |      |  DEBUG   | BOTNAME: 	<BOT_NAME>
2024-02-08 at 10:59:49 |     __init__.py      |   show_config   |  12  |                      |                 |      |  DEBUG   | TIME: 	2024-02-08 10:59:49 pt_BR
2024-02-08 at 10:59:49 |     __init__.py      |   show_config   |  13  |                      |                 |      |  DEBUG   | LOCALE: 	pt_BR
2024-02-08 at 10:59:49 |     __init__.py      |   show_config   |  14  |                      |                 |      |  DEBUG   | MODE: 	DEV
2024-02-08 at 10:59:49 |     __init__.py      |   show_config   |  15  |                      |                 |      |  DEBUG   | -------
2024-02-08 at 10:59:49 |     __init__.py      |   show_config   |  16  |                      |                 |      |  DEBUG   | USE_SELENOID: False
2024-02-08 at 10:59:49 |     __init__.py      |   show_config   |  17  |                      |                 |      |  DEBUG   | =====================CONFIG================
2024-02-08 at 10:59:49 |      loguru.py       |     wrapper     |  19  |                      |      main       |      | SUCCESS  | START
2024-02-08 at 10:59:49 |     __main__.py      |      main       |  13  |                      |                 |      |   INFO   | 1 - STEP_GOOGLE
2024-02-08 at 10:59:49 |      google.py       |       RUN       |  54  |                      |                 |      |   INFO   | 	1.1 - CONFIGURANDO SELENIUM
#========================================================================================================================================================================================================
2024-02-08 at 11:00:05 |     __init__.py      |   show_config   |  10  |                      |                 |      |  DEBUG   | =====================CONFIG================
2024-02-08 at 11:00:05 |     __init__.py      |   show_config   |  11  |                      |                 |      |  DEBUG   | BOTNAME: 	<BOT_NAME>
2024-02-08 at 11:00:05 |     __init__.py      |   show_config   |  12  |                      |                 |      |  DEBUG   | TIME: 	2024-02-08 11:00:05 pt_BR
2024-02-08 at 11:00:05 |     __init__.py      |   show_config   |  13  |                      |                 |      |  DEBUG   | LOCALE: 	pt_BR
2024-02-08 at 11:00:05 |     __init__.py      |   show_config   |  14  |                      |                 |      |  DEBUG   | MODE: 	DEV
2024-02-08 at 11:00:05 |     __init__.py      |   show_config   |  15  |                      |                 |      |  DEBUG   | -------
2024-02-08 at 11:00:05 |     __init__.py      |   show_config   |  16  |                      |                 |      |  DEBUG   | USE_SELENOID: False
2024-02-08 at 11:00:05 |     __init__.py      |   show_config   |  17  |                      |                 |      |  DEBUG   | =====================CONFIG================
2024-02-08 at 11:00:05 |      loguru.py       |     wrapper     |  19  |                      |      main       |      | SUCCESS  | START
2024-02-08 at 11:00:05 |     __main__.py      |      main       |  13  |                      |                 |      |   INFO   | 1 - STEP_GOOGLE
2024-02-08 at 11:00:05 |      google.py       |       RUN       |  54  |                      |                 |      |   INFO   | 	1.1 - CONFIGURANDO SELENIUM
2024-02-08 at 11:00:09 |      google.py       |       RUN       |  56  |                      |                 |      |   INFO   | 	1.2 - ABRINDO_O_GOOGLE
2024-02-08 at 11:00:17 |      loguru.py       |     wrapper     |  39  |      google.py       |   OPEN_GOOGLE   |  22  | CRITICAL | Message: no such window: target window already closed from unknown error: web view not found   (Session info: chrome=121.0.6167.86) Stacktrace: 	GetHandleVerifier [0x00D31673+52979] 	(No symbol) [0x00CB7961] 	(No symbol) [0x00B9DD3D] 	(No symbol) [0x00B8239A] 	(No symbol) [0x00BFA71B] 	(No symbol) [0x00C0ACB6] 	(No symbol) [0x00BF4286] 	(No symbol) [0x00BCC063] 	(No symbol) [0x00BCCECD] 	GetHandleVerifier [0x01048D83+3294723] 	GetHandleVerifier [0x01086CC2+3548482] 	GetHandleVerifier [0x01081C9C+3527964] 	GetHandleVerifier [0x00DC870E+671630] 	(No symbol) [0x00CC1EB4] 	(No symbol) [0x00CBD808] 	(No symbol) [0x00CBD92D] 	(No symbol) [0x00CAF7E0] 	BaseThreadInitThunk [0x7677FCC9+25] 	RtlGetAppContainerNamedObjectPath [0x77577C6E+286] 	RtlGetAppContainerNamedObjectPath [0x77577C3E+238] 
2024-02-08 at 11:00:17 |      loguru.py       |     wrapper     |  39  |      google.py       |       RUN       |  57  | CRITICAL | Message: no such window: target window already closed from unknown error: web view not found   (Session info: chrome=121.0.6167.86) Stacktrace: 	GetHandleVerifier [0x00D31673+52979] 	(No symbol) [0x00CB7961] 	(No symbol) [0x00B9DD3D] 	(No symbol) [0x00B8239A] 	(No symbol) [0x00BFA71B] 	(No symbol) [0x00C0ACB6] 	(No symbol) [0x00BF4286] 	(No symbol) [0x00BCC063] 	(No symbol) [0x00BCCECD] 	GetHandleVerifier [0x01048D83+3294723] 	GetHandleVerifier [0x01086CC2+3548482] 	GetHandleVerifier [0x01081C9C+3527964] 	GetHandleVerifier [0x00DC870E+671630] 	(No symbol) [0x00CC1EB4] 	(No symbol) [0x00CBD808] 	(No symbol) [0x00CBD92D] 	(No symbol) [0x00CAF7E0] 	BaseThreadInitThunk [0x7677FCC9+25] 	RtlGetAppContainerNamedObjectPath [0x77577C6E+286] 	RtlGetAppContainerNamedObjectPath [0x77577C3E+238] 
2024-02-08 at 11:00:17 |      loguru.py       |     wrapper     |  39  |     __main__.py      |      main       |  14  | CRITICAL | Message: no such window: target window already closed from unknown error: web view not found   (Session info: chrome=121.0.6167.86) Stacktrace: 	GetHandleVerifier [0x00D31673+52979] 	(No symbol) [0x00CB7961] 	(No symbol) [0x00B9DD3D] 	(No symbol) [0x00B8239A] 	(No symbol) [0x00BFA71B] 	(No symbol) [0x00C0ACB6] 	(No symbol) [0x00BF4286] 	(No symbol) [0x00BCC063] 	(No symbol) [0x00BCCECD] 	GetHandleVerifier [0x01048D83+3294723] 	GetHandleVerifier [0x01086CC2+3548482] 	GetHandleVerifier [0x01081C9C+3527964] 	GetHandleVerifier [0x00DC870E+671630] 	(No symbol) [0x00CC1EB4] 	(No symbol) [0x00CBD808] 	(No symbol) [0x00CBD92D] 	(No symbol) [0x00CAF7E0] 	BaseThreadInitThunk [0x7677FCC9+25] 	RtlGetAppContainerNamedObjectPath [0x77577C6E+286] 	RtlGetAppContainerNamedObjectPath [0x77577C3E+238] 
2024-02-08 at 11:00:17 |      loguru.py       |     wrapper     |  25  |                      |      main       |      | CRITICAL | FINISHED
#========================================================================================================================================================================================================
#========================================================================================================================================================================================================
#========================================================================================================================================================================================================
#========================================================================================================================================================================================================
#========================================================================================================================================================================================================
#========================================================================================================================================================================================================
#========================================================================================================================================================================================================
#========================================================================================================================================================================================================
#========================================================================================================================================================================================================
#========================================================================================================================================================================================================
#========================================================================================================================================================================================================
#========================================================================================================================================================================================================
#========================================================================================================================================================================================================
#========================================================================================================================================================================================================
#========================================================================================================================================================================================================
#========================================================================================================================================================================================================
#========================================================================================================================================================================================================
#========================================================================================================================================================================================================
#========================================================================================================================================================================================================
#========================================================================================================================================================================================================
#========================================================================================================================================================================================================
#========================================================================================================================================================================================================
#========================================================================================================================================================================================================
#========================================================================================================================================================================================================
